State,Year,Type,GEO.id2,GEO.display_label,Households,Poverty Households,ALICE Households,Above ALICE Households,Source: American Community Survey 
Ohio,2022,Sub_County,3903104864,"Bedford township, Coshocton County, Ohio",298,40,17,241,5-Year
Ohio,2022,Sub_County,3903106152,"Bethlehem township, Coshocton County, Ohio",379,63,81,235,5-Year
Ohio,2022,Sub_County,3903115266,"Clark township, Coshocton County, Ohio",188,0,102,86,5-Year
Ohio,2022,Sub_County,3903118868,"Coshocton city, Coshocton County, Ohio",4864,1167,1300,2397,5-Year
Ohio,2022,Sub_County,3903119218,"Crawford township, Coshocton County, Ohio",506,49,68,389,5-Year
Ohio,2022,Sub_County,3903128252,"Franklin township, Coshocton County, Ohio",482,64,183,235,5-Year
Ohio,2022,Sub_County,3903137730,"Jackson township, Coshocton County, Ohio",800,164,144,492,5-Year
Ohio,2022,Sub_County,3903138556,"Jefferson township, Coshocton County, Ohio",596,96,162,338,5-Year
Ohio,2022,Sub_County,3903139634,"Keene township, Coshocton County, Ohio",767,29,221,517,5-Year
Ohio,2022,Sub_County,3903141132,"Lafayette township, Coshocton County, Ohio",1746,298,507,941,5-Year
Ohio,2022,Sub_County,3903143960,"Linton township, Coshocton County, Ohio",239,38,69,132,5-Year
Ohio,2022,Sub_County,3903150274,"Mill Creek township, Coshocton County, Ohio",274,48,15,211,5-Year
Ohio,2022,Sub_County,3903151352,"Monroe township, Coshocton County, Ohio",173,21,27,125,5-Year
Ohio,2022,Sub_County,3903154376,"Newcastle township, Coshocton County, Ohio",135,0,95,40,5-Year
Ohio,2022,Sub_County,3903159248,"Oxford township, Coshocton County, Ohio",684,100,279,305,5-Year
Ohio,2022,Sub_County,3903161812,"Perry township, Coshocton County, Ohio",180,0,121,59,5-Year
Ohio,2022,Sub_County,3903162624,"Pike township, Coshocton County, Ohio",352,42,112,198,5-Year
Ohio,2022,Sub_County,3903176953,"Tiverton township, Coshocton County, Ohio",120,11,13,96,5-Year
Ohio,2022,Sub_County,3903177896,"Tuscarawas township, Coshocton County, Ohio",652,348,173,131,5-Year
Ohio,2022,Sub_County,3903180220,"Virginia township, Coshocton County, Ohio",246,10,97,139,5-Year
Ohio,2022,Sub_County,3903181172,"Washington township, Coshocton County, Ohio",177,9,54,114,5-Year
Ohio,2022,Sub_County,3903184714,"White Eyes township, Coshocton County, Ohio",588,100,198,290,5-Year
Ohio,2022,Sub_County,3903302890,"Auburn township, Crawford County, Ohio",277,21,17,239,5-Year
Ohio,2022,Sub_County,3903310030,"Bucyrus city, Crawford County, Ohio",5149,930,1460,2759,5-Year
Ohio,2022,Sub_County,3903310044,"Bucyrus township, Crawford County, Ohio",372,25,41,306,5-Year
Ohio,2022,Sub_County,3903313708,"Chatfield township, Crawford County, Ohio",310,16,145,149,5-Year
Ohio,2022,Sub_County,3903319134,"Cranberry township, Crawford County, Ohio",647,71,163,413,5-Year
Ohio,2022,Sub_County,3903319330,"Crestline village, Crawford County, Ohio",1828,351,512,965,5-Year
Ohio,2022,Sub_County,3903319932,"Dallas township, Crawford County, Ohio",209,8,57,144,5-Year
Ohio,2022,Sub_County,3903329176,"Galion City township, Crawford County, Ohio",4684,814,1538,2332,5-Year
